"","...1","yrs.service","sex"
"202","202",40,"Male"
"203","203",17,"Male"
"204","204",17,"Male"
"205","205",5,"Male"
"206","206",2,"Male"
"207","207",33,"Male"
"208","208",18,"Male"
"209","209",2,"Male"
"210","210",20,"Male"
"211","211",3,"Male"
"212","212",39,"Male"
"213","213",7,"Male"
"214","214",19,"Male"
"215","215",1,"Male"
"216","216",11,"Male"
"217","217",11,"Male"
"218","218",22,"Male"
"219","219",7,"Female"
"220","220",11,"Male"
"221","221",21,"Male"
"222","222",10,"Male"
"223","223",6,"Male"
"224","224",20,"Male"
"225","225",35,"Male"
"226","226",20,"Male"
"227","227",1,"Male"
"228","228",7,"Male"
"229","229",11,"Male"
"230","230",38,"Male"
"231","231",27,"Female"
"232","232",24,"Female"
"233","233",19,"Male"
"234","234",19,"Female"
"235","235",3,"Male"
"236","236",17,"Male"
"237","237",25,"Male"
"238","238",6,"Female"
"239","239",40,"Male"
"240","240",6,"Male"
"241","241",3,"Male"
"242","242",30,"Male"
"243","243",37,"Male"
"244","244",23,"Male"
"245","245",23,"Male"
"246","246",11,"Female"
"247","247",23,"Male"
"248","248",18,"Male"
"249","249",23,"Male"
"250","250",7,"Male"
"251","251",39,"Male"
"252","252",8,"Male"
"253","253",12,"Male"
"254","254",2,"Female"
"255","255",7,"Female"
"256","256",8,"Male"
"257","257",22,"Male"
"258","258",23,"Male"
"259","259",3,"Male"
"260","260",30,"Male"
"261","261",33,"Male"
"262","262",45,"Male"
"263","263",26,"Male"
"264","264",31,"Male"
"265","265",35,"Male"
"266","266",30,"Male"
"267","267",43,"Male"
"268","268",10,"Male"
"269","269",44,"Male"
"270","270",7,"Male"
"271","271",40,"Male"
"272","272",18,"Male"
"273","273",1,"Male"
"274","274",4,"Male"
"275","275",3,"Female"
"276","276",6,"Male"
"277","277",48,"Male"
"278","278",27,"Male"
"279","279",18,"Male"
"280","280",46,"Male"
"281","281",38,"Male"
"282","282",27,"Male"
"283","283",51,"Male"
"284","284",43,"Male"
"285","285",6,"Male"
"286","286",49,"Male"
"287","287",27,"Male"
"288","288",0,"Male"
"289","289",27,"Male"
"290","290",5,"Male"
"291","291",7,"Male"
"292","292",28,"Male"
"293","293",9,"Male"
"294","294",1,"Male"
"295","295",7,"Male"
"296","296",36,"Male"
"297","297",18,"Male"
"298","298",11,"Male"
"299","299",43,"Male"
"300","300",39,"Male"
"301","301",36,"Male"
"302","302",16,"Male"
"303","303",13,"Male"
"304","304",4,"Male"
"305","305",44,"Male"
"306","306",31,"Male"
"307","307",4,"Male"
"308","308",28,"Male"
"309","309",0,"Male"
"310","310",15,"Male"
"311","311",7,"Male"
"312","312",9,"Male"
"313","313",19,"Male"
"314","314",35,"Male"
"315","315",6,"Male"
"316","316",3,"Male"
"317","317",9,"Female"
"318","318",45,"Male"
"319","319",16,"Male"
"320","320",15,"Male"
"321","321",23,"Male"
"322","322",9,"Male"
"323","323",11,"Male"
"324","324",15,"Female"
"325","325",31,"Male"
"326","326",4,"Male"
"327","327",15,"Male"
"328","328",37,"Male"
"329","329",10,"Male"
"330","330",23,"Male"
"331","331",60,"Male"
"332","332",9,"Male"
"333","333",10,"Female"
"334","334",19,"Male"
"335","335",6,"Female"
"336","336",38,"Male"
"337","337",23,"Male"
"338","338",12,"Male"
"339","339",25,"Male"
"340","340",15,"Male"
"341","341",11,"Male"
"342","342",17,"Female"
"343","343",38,"Male"
"344","344",31,"Male"
"345","345",35,"Male"
"346","346",10,"Male"
"347","347",27,"Male"
"348","348",33,"Male"
"349","349",3,"Male"
"350","350",28,"Male"
"351","351",49,"Male"
"352","352",38,"Male"
"353","353",27,"Male"
"354","354",20,"Male"
"355","355",1,"Male"
"356","356",21,"Male"
"357","357",40,"Male"
"358","358",35,"Male"
"359","359",14,"Female"
"360","360",4,"Male"
"361","361",11,"Male"
"362","362",15,"Female"
"363","363",30,"Male"
"364","364",17,"Male"
"365","365",43,"Male"
"366","366",40,"Male"
"367","367",10,"Male"
"368","368",1,"Male"
"369","369",30,"Male"
"370","370",31,"Male"
"371","371",8,"Male"
"372","372",20,"Male"
"373","373",7,"Male"
"374","374",26,"Male"
"375","375",19,"Male"
"376","376",26,"Male"
"377","377",1,"Male"
"378","378",3,"Male"
"379","379",38,"Male"
"380","380",8,"Male"
"381","381",3,"Male"
"382","382",23,"Male"
"383","383",5,"Male"
"384","384",44,"Male"
"385","385",21,"Male"
"386","386",9,"Male"
"387","387",27,"Male"
"388","388",15,"Male"
"389","389",36,"Male"
"390","390",18,"Male"
"391","391",19,"Male"
"392","392",19,"Male"
"393","393",30,"Male"
"394","394",19,"Male"
"395","395",25,"Male"
"396","396",15,"Male"
"397","397",4,"Male"
